asset_id,path,sha256,bytes,source,release_status,notes
chapter-end,apps/web/public/assets/audio/bgm/chapter-end.mp3,d6534fec1e4f2d6571d8670d502ac3163f8e4c9748bd376517d7de76c4c54ee5,2442986,owner_generated_lyria3,demo_approved_commercial_evidence_pending,The_Last_Train_to_Shibuya
lonely-pad,apps/web/public/assets/audio/bgm/lonely-pad.mp3,528908acde9bc085c7b3f804d1f0153c3532581e51df82e3c2e7b3a744c8671d,2882470,owner_generated_lyria3,demo_approved_commercial_evidence_pending,Half_Empty_Teacups
night-ambient,apps/web/public/assets/audio/bgm/night-ambient.mp3,ee6e08fa02bed8c5efe1f9ffe20dfcacddfa54b27bcb2866bf9b27147c61d8c2,4027887,owner_generated_lyria3,demo_approved_commercial_evidence_pending,Behind_The_Glass
soft-piano,apps/web/public/assets/audio/bgm/soft-piano.mp3,3f66c90e89c0f6de3bb50271c9272e19387c33200c2d0521958380dc5e253d13,3775857,owner_generated_lyria3,demo_approved_commercial_evidence_pending,Before_the_Last_Train
title-theme,apps/web/public/assets/audio/bgm/title-theme.mp3,cba59aad714131ccee8507dbb24e0ad0bf433d9ec3674be05028011687f59b8b,3797173,owner_generated_lyria3,demo_approved_commercial_evidence_pending,Ten_Past_Midnight
notify-soft,apps/web/public/assets/audio/sfx/notify-soft.mp3,14aad47518786ea2556b45f050fed2a301d521ff9dedd46b73701b3cc3d54a2e,15239,mixkit_sfx_free_license,demo_approved_exact_item_url_missing,replace_or_recover_item_url_before_paid_build
payment-chime,apps/web/public/assets/audio/sfx/payment-chime.mp3,5f67925783fa4b5db090cc5092b77c13ef98037cd893d3d768d41f942a83d03b,76104,mixkit_sfx_free_license,demo_approved_exact_item_url_missing,replace_or_recover_item_url_before_paid_build
ui-choice,apps/web/public/assets/audio/sfx/ui-choice.mp3,3b0992b7756421da93f601c53c762f9cdc88f795ad89c703085741211b6d32ee,91327,mixkit_sfx_free_license,demo_approved_exact_item_url_missing,replace_or_recover_item_url_before_paid_build
ui-click,apps/web/public/assets/audio/sfx/ui-click.mp3,1b41ec99c2791eb1d292e0f1b09355a3cf0c184db42458d34cd041e249951e4b,8455,mixkit_sfx_free_license,demo_approved_exact_item_url_missing,replace_or_recover_item_url_before_paid_build
demo-ui,apps/web/public/assets/portraits/demo-ui.png,f9ad0a6ed0cc739e014974131659cec4e188dc781ec5aaab0d74b61947cfd664,4918,owner_generated_ai,demo_approved_commercial_evidence_pending,default_placeholder_portrait
lin-neutral,apps/web/public/assets/portraits/lin-neutral.png,3e71875e63d8ccfd972bd29ad3a19752bf51a0c055be807f721ea7ad051542ae,809819,owner_generated_ai,demo_approved_commercial_evidence_pending,character_lock_in_packages_content
suming-base,apps/web/public/assets/portraits/suming-base.png,c48196af84be96162940e86ef9ae6224880f1d82c70f0860fae48c851bbc13cd,1084487,owner_generated_ai,demo_approved_commercial_evidence_pending,soft_alpha_matte_despill_2026-07-13
suming-committed,apps/web/public/assets/portraits/suming-committed.png,c794b507cff71022a6fd55d4e7ed48021f203c34faea1f104679d3d9cd8d4ffd,985422,owner_generated_ai,demo_approved_generation_recorded_terms_review_pending,distinct_committed_mood_regenerated_2026-07-11
suming-lonely,apps/web/public/assets/portraits/suming-lonely.png,d6f7d6ab48a5d51b4274357389854c9f43590e840ca614ae3c8185181252b69f,1044940,owner_generated_ai,demo_approved_commercial_evidence_pending,soft_alpha_matte_despill_2026-07-13
suming-panic,apps/web/public/assets/portraits/suming-panic.png,44a9a10645b8396dda443e366aa0a7225f658a3b6ca81e44c97a00edf6d99eb8,1070715,owner_generated_ai,demo_approved_commercial_evidence_pending,soft_alpha_matte_despill_2026-07-13
suming-restless,apps/web/public/assets/portraits/suming-restless.png,2fd48b58fcba60e912647a820f71f22b42047f37bbc5ccc305683e068e59ea2b,987856,owner_generated_ai,demo_approved_generation_recorded_terms_review_pending,distinct_restless_mood_regenerated_2026-07-11
suming-shame,apps/web/public/assets/portraits/suming-shame.png,175a51a0071944dd167cc26fa9b40059eed25400f0a1fa2e041d1945803b6983,1061077,owner_generated_ai,demo_approved_commercial_evidence_pending,soft_alpha_matte_despill_2026-07-13
suming-tempted,apps/web/public/assets/portraits/suming-tempted.png,67e8dd317513263af6eaab8f1e3f43fc64303174bca223d6a6059c01fab696c8,1097285,owner_generated_ai,demo_approved_commercial_evidence_pending,soft_alpha_matte_despill_2026-07-13
suming-uncanny,apps/web/public/assets/portraits/suming-uncanny.png,7a841a46f05e5b6f99e2566d0156279d937f8fcb6df77bb9c3d00a2691210899,1063918,owner_generated_ai,demo_approved_commercial_evidence_pending,soft_alpha_matte_despill_2026-07-13
zhou-neutral,apps/web/public/assets/portraits/zhou-neutral.png,2a3bbd930e794baf3aa529cd21fe499f0059d688cd8c3ebc3c965b9737bd1f2a,822278,owner_generated_ai,demo_approved_commercial_evidence_pending,character_lock_in_packages_content
bg-lobby-white,apps/web/public/assets/scenes/bg-lobby-white.jpg,11eaa3facebc2b0975d3695b1e5155fd4f4c688ce23df6b09624d953592b815f,190564,owner_generated_ai,demo_approved_commercial_evidence_pending,scene_background
bg-office-night,apps/web/public/assets/scenes/bg-office-night.jpg,02da550edc2b312b99f132b161aef4826b1a3d49c5173c0721920f0e50acb2bc,198466,owner_generated_ai,demo_approved_commercial_evidence_pending,scene_background
bg-product-page,apps/web/public/assets/scenes/bg-product-page.jpg,247f33096fabb918fc793185ad158f8c7430942defb0ada857b3dff29fac09d8,124002,owner_generated_ai,demo_approved_commercial_evidence_pending,scene_background
bg-rental-room,apps/web/public/assets/scenes/bg-rental-room.jpg,3678332e53e31606a035f91075acdd015bdec1421baf0f65820954b3cbe9b122,247942,owner_generated_ai,demo_approved_commercial_evidence_pending,scene_background
boot-splash,apps/web/public/assets/ui/boot-splash.jpg,a745fee1e054392bfb01cda46c939e25b6fe5688f2bc181190d99ca1c39b3a86,325399,owner_generated_ai,demo_approved_commercial_evidence_pending,audio_unlock_gate
prop-protocol-terms,apps/web/public/assets/props/prop-protocol-terms.png,5882911ea96692f14606fe5fee553c775eb25365b21a5adce1d17796d1a6d392,558904,round15_agent_generated_candidate,prototype_only_rights_pending_human_review_false,draft-ch01_dch01_protocol_test
prop-barcode-shift,apps/web/public/assets/props/prop-barcode-shift.png,19c6fe3ce85dda8fc5977696a528f11f8dce079a8fc4eafaae175d0c3c40f424,366032,round15_agent_generated_candidate,prototype_only_rights_pending_human_review_false,draft-ch02_dch02_barcode_sweep
prop-rental-receipt,apps/web/public/assets/props/prop-rental-receipt.png,b6242e9d1647a9e54b1e2248edd657fb7a4ab86e05f49c62dc18b6ef4bc4ee92,86150,round15_agent_generated_candidate,prototype_only_rights_pending_human_review_false,draft-ch02_dch02_s020
prop-application-nda,apps/web/public/assets/props/prop-application-nda.png,e27ec1201b46df5ee893bb69f5838b39578ed5ecc9bcee93135539da5a1ea1a3,94458,round15_agent_generated_candidate,prototype_only_rights_pending_human_review_false,draft-ch02_dch02_s037
prop-approval-sms,apps/web/public/assets/props/prop-approval-sms.png,bb48a716c3c3bfe1854a4380d6d35a2068c05acbe09054782a761f869e74c6ba,62583,round15_agent_generated_candidate,prototype_only_rights_pending_human_review_false,draft-ch02_dch02_s040
